ギア,ギア,1290,1290,95,-9.1181
ギイン,議員,1285,1285,125,-8.8792
ギオン,祇園,1293,1293,311,-10.1783
ギカイ,議会,1285,1285,13,-9.2577
ギコチ,ぎこち,1284,1284,268,-9.1379
ギシキ,儀式,1285,1285,199,-10.1548
ギジュツ,技術,1285,1285,351,-7.8343
ギジュツシャ,技術者,1288,1288,281,-9.9279
ギジュツヲ,技術を,1285,156,17,-10.0914
ギセイ,犠牲,1285,1285,282,-9.9410
ギセイシャ,犠牲者,1288,1288,490,-10.1607
ギセキ,議席,1285,1285,125,-10.0038
ギター,ギター,1285,1285,132,-9.1971
ギチョウ,議長,1285,1285,215,-9.9604
ギフ,岐阜,1293,1293,473,-8.7104
ギフケン,岐阜県,1293,1293,397,-8.5103
ギフシ,岐阜市,1293,1293,18,-10.1561
ギミ,気味,1298,1298,48,-8.5648
ギミック,ギミック,1289,1289,26,-9.2201
ギム,義務,1285,1285,455,-9.2989
ギモン,疑問,1287,1287,468,-7.3116
ギャクサツ,虐殺,1283,1283,490,-10.0735
ギャクタイ,虐待,1283,1283,243,-9.7057
ギャクテン,逆転,1283,1283,63,-9.4172
ギャクニ,逆に,1285,151,17,-8.4440
ギャップ,ギャップ,1285,1285,351,-10.1562
ギュウニュウ,牛乳,1285,1285,75,-9.9210
ギュット,ぎゅっと,1281,1281,54,-10.0357
ギョ,ぎょ,3,3,78,-8.7338
ギョウカイ,業界,1285,1285,378,-8.7261
ギョウカイダンタイ,業界団体,1292,1292,378,-9.8114
ギョウシャ,業者,1285,1285,378,-9.3710
ギョウジ,行事,1285,1285,224,-9.9092
ギョウセイ,行政,1285,1285,265,-8.9734
ギョウセイクカク,行政区画,1288,1288,13,-10.0669
ギョウセキ,業績,1285,1285,356,-9.8776
ギョウム,業務,1285,1285,486,-8.4835
ギョウレツ,行列,1283,1283,447,-9.7946
ギョライ,魚雷,1285,1285,320,-10.1458
ギライ,嫌い,1298,1298,66,-9.0128
ギリ,切り,1298,1298,60,-9.4287
ギリギリ,ギリギリ,1287,1287,48,-8.1860
ギリギリ,ぎりぎり,1282,1282,317,-9.5999
ギリシア,ギリシア,1294,1294,359,-8.0751
ギリシャ,ギリシャ,1294,1294,240,-7.7375
ギル,ギル,1289,1289,25,-10.1483
ギレ,切れ,1298,1298,268,-9.7084
ギロン,議論,1283,1283,436,-8.2312
ギンコウ,銀行,1285,1285,378,-9.1152
ギンザ,銀座,1293,1293,311,-8.2530
