ザ,The,1289,1289,367,-7.0172
ザイアクカン,罪悪感,1288,1288,252,-9.9961
ザイイ,在位,1283,1283,119,-9.6989
ザイガク,在学,1283,1283,364,-9.8336
ザイガクチュウ,在学中,1288,1288,501,-10.1761
ザイコ,在庫,1283,1283,474,-9.7156
ザイサン,財産,1285,1285,474,-9.8454
ザイジュウ,在住,1283,1283,324,-9.1867
ザイセイ,財政,1285,1285,79,-9.9055
ザイセキ,在籍,1283,1283,364,-8.7016
ザイタク,在宅,1283,1283,402,-9.8999
ザイダン,財団,1285,1285,300,-10.4414
ザイダンホウジン,財団法人,1292,1292,300,-8.6815
ザイムショウ,財務省,1292,1292,265,-8.9324
ザイムダイジン,財務大臣,1292,1292,215,-10.0130
ザイリョウ,材料,1285,1285,270,-9.1388
ザカリ,盛り,1298,1298,60,-10.0255
ザクセン,ザクセン,1293,1293,446,-9.5958
ザシ,指し,1285,1285,390,-9.0416
ザセキ,座席,1285,1285,414,-9.5848
ザセツ,挫折,1283,1283,182,-9.8565
ザックリ,ざっくり,1281,1281,256,-8.7743
ザッシ,雑誌,1285,1285,201,-8.6317
ザッタ,雑多,1287,1287,169,-10.1362
ザット,ざっと,1281,1281,163,-9.7307
ザツダン,雑談,1283,1283,451,-9.6359
ザマシ,覚まし,1285,1285,91,-9.5532
ザリ,ざり,488,488,495,-4.0073
ザル,ざる,485,485,282,-3.6544
ザルツブルク,ザルツブルク,1293,1293,98,-10.2328
ザルヲ,ざるを,485,156,17,-9.7455
ザルヲエナイ,ざるを得ない,485,473,17,-10.3185
ザワ,ざわ,1281,1281,36,-9.5853
ザワツキ,ざわつき,689,689,501,-10.2096
ザワツク,ざわつく,679,679,501,-10.1690
ザワツケ,ざわつけ,685,685,501,-10.1689
ザンギョウ,残業,1283,1283,42,-9.7350
ザンコク,残酷,1287,1287,66,-9.1604
ザンシン,斬新,1287,1287,169,-9.4025
ザンソン,残存,1283,1283,182,-10.1140
ザンテイ,暫定,1283,1283,436,-10.1128
ザンネン,残念,1287,1287,17,-6.6581
ザンネンデス,残念です,1287,460,17,-9.8730
ザンネンデスガ,残念ですが,1287,299,17,-10.4416
ザンネンナ,残念な,1287,454,17,-10.3710
ザンネンナガラ,残念ながら,1287,314,17,-9.1212
ザンネンナガラハズレ,残念ながらハズレ,1287,1285,17,-10.3496
ザンネンナガラハズレデス,残念ながらハズレです,1287,460,17,-10.3690
ザンビア,ザンビア,1294,1294,272,-10.3828
ザンリュウ,残留,1283,1283,182,-9.9566
