ジカン,時間,1314,1314,317,-5.0003
ジカン,時間,1300,1300,317,-7.1355
ジキ,時期,1314,1314,356,-6.1218
ジギョウ,事業,1285,1285,378,-7.7283
ジギョウシャ,事業者,1292,1292,378,-7.2336
ジシャ,自社,1292,1292,378,-7.0448
ジシン,自身,1285,1285,282,-7.4355
ジジツ,事実,1314,1314,468,-6.8536
ジダイ,時代,1285,1285,356,-6.9115
ジッサイ,実際,1282,1282,468,-5.3171
ジッシ,実施,1283,1283,375,-7.3499
ジツゲン,実現,1283,1283,182,-7.7327
ジツハ,実は,555,555,161,-5.9819
ジテン,時点,1285,1285,143,-7.7090
ジブン,自分,1285,1285,161,-5.4686
ジブンノ,自分の,1285,368,17,-7.1714
ジミントウ,自民党,1292,1292,125,-6.8235
ジャ,じゃ,334,334,247,-2.7478
ジャ,じゃ,308,261,247,-3.4000
ジャ,じゃ,430,430,247,-3.7301
ジャ,じゃ,555,555,247,-7.1330
ジャア,じゃあ,335,335,17,-4.1035
ジャア,じゃあ,555,555,17,-6.8372
ジャウ,じゃう,308,1253,418,-7.7444
ジャッ,じゃっ,432,432,420,-4.0682
ジャナイ,じゃない,334,473,17,-6.9777
ジャナイ,じゃない,308,473,17,-7.1727
ジャナイ,じゃない,308,20,17,-7.5891
ジャナクテ,じゃなくて,1288,1288,420,-7.3281
ジャン,じゃん,508,508,80,-3.4019
ジュウイチガツ,11月,1288,1288,195,-7.6394
ジュウガツ,10月,1288,1288,195,-7.4396
ジュウニガツ,12月,1288,1288,195,-7.5251
ジュウブン,十分,1287,1287,169,-6.9690
ジュウヨウ,重要,1287,1287,169,-6.1721
ジュウライ,従来,1314,1314,468,-7.0971
ジュショウ,受賞,1283,1283,313,-7.6219
ジュンズ,準ず,593,593,481,-5.6202
ジュンズル,準ずる,592,592,481,-5.6217
ジユウ,自由,1287,1287,169,-6.3665
ジョウキョウ,状況,1285,1285,282,-7.5180
ジョウズ,上手,1287,1287,127,-7.4716
ジョウタイ,状態,1285,1285,282,-7.2073
ジョウホウ,情報,1285,1285,363,-7.2280
ジョジョニ,徐々に,1281,1281,356,-7.3841
ジョセ,叙せ,586,586,52,-7.7360
ジョセイ,女性,1285,1285,42,-7.1707
ジョン,ジョン,1291,1291,255,-7.4473
ジラ,自ら,1285,1285,252,-6.8468
ジンセイ,人生,1285,1285,252,-7.4625
