セイ,せい,607,607,331,-3.4093
セイ,せい,1310,1310,331,-7.0058
セイカク,正確,1287,1287,169,-7.4198
セイカツ,生活,1283,1283,42,-6.9220
セイコウ,成功,1283,1283,182,-7.3704
セイサク,制作,1283,1283,375,-7.3037
セイサク,製作,1283,1283,375,-7.8409
セイサン,生産,1283,1283,55,-7.6659
セイシ,制し,735,735,245,-7.7104
セイシキ,正式,1287,1287,169,-7.1894
セイシロ,制しろ,588,588,258,-7.9893
セイスル,制する,583,583,258,-7.9929
セイゾウ,製造,1283,1283,281,-7.5705
セイチョウ,成長,1283,1283,182,-7.4748
セイビ,整備,1283,1283,375,-7.8187
セイブ,西武,1292,1292,316,-7.8949
セイリツ,成立,1283,1283,182,-7.8399
セカイ,世界,1285,1285,212,-6.8640
セッカク,せっかく,1281,1281,17,-7.6027
セッキョク,積極,1287,1287,356,-7.8250
セッケイ,設計,1283,1283,375,-7.6558
セッサ,接さ,586,586,471,-5.8955
セッシ,接し,735,735,390,-7.2599
セッシロ,接しろ,588,588,471,-5.8161
セッス,接す,584,584,471,-5.8239
セッスル,接する,583,583,471,-5.8198
セッチ,設置,1283,1283,375,-6.9862
セッテイ,設定,1283,1283,375,-7.0152
セツメイ,説明,1283,1283,375,-7.1952
セツリツ,設立,1283,1283,375,-7.3973
セテ,せて,876,307,17,-7.2476
セマイ,狭い,19,19,471,-7.9337
セマウ,狭う,31,31,471,-7.3484
セマカレ,狭かれ,29,29,471,-7.3409
セマキ,狭き,21,21,471,-7.3411
セマク,狭く,35,35,471,-7.4239
セマシ,狭し,23,23,471,-7.3484
セメエ,狭え,19,19,471,-7.9337
セリ,せり,788,788,43,-5.6425
セル,せる,870,870,43,-4.3284
セレ,せれ,784,784,43,-5.6311
セロ,せろ,874,874,17,-4.3799
センゴ,戦後,1314,1314,356,-7.1910
センシュ,選手,1285,1285,334,-7.5665
センジツ,先日,1314,1314,161,-7.4346
センセイ,先生,1285,1285,364,-7.5150
センソウ,戦争,1283,1283,298,-7.7525
センタク,選択,1283,1283,375,-7.7208
センダイ,仙台,1293,1293,473,-7.8551
セントウ,戦闘,1283,1283,53,-7.9501
