テイ,てい,307,930,17,-5.8308
テイウ,ていう,171,171,327,-3.7709
テイキョウ,提供,1283,1283,375,-7.4123
テイク,ていく,307,992,17,-7.5930
テイサ,呈さ,586,586,43,-7.6509
テイシロ,呈しろ,588,588,43,-7.5715
テイス,呈す,584,584,43,-7.5793
テイスル,呈する,583,583,43,-7.5751
テイタ,ていた,307,435,17,-6.4827
テイテ,ていて,307,307,17,-7.6863
テイド,程度,1298,1298,23,-6.6105
テイナイ,ていない,307,473,17,-7.6534
テイネイ,丁寧,1287,1287,66,-7.7090
テイマス,ています,307,491,17,-6.7459
テイル,ている,307,919,17,-5.6469
テイルノ,ているの,307,1310,17,-7.4871
テェ,てぇ,440,440,420,-4.4488
テエ,てえ,440,440,54,-5.1545
テオリ,ており,307,1197,17,-7.2762
テカ,てか,555,555,437,-7.2922
テカラ,てから,307,147,17,-7.6796
テキ,てき,1011,1011,331,-4.7966
テキ,てき,307,904,17,-6.6849
テキシ,適し,735,735,390,-7.6451
テキタ,てきた,307,435,17,-7.2992
テキトウ,適当,1287,1287,169,-7.7016
テキナ,的な,1299,454,17,-7.1168
テク,てく,991,991,150,-4.7884
テクダサイ,てください,307,1239,17,-7.1772
テクル,てくる,307,897,17,-7.4581
テクレ,てくれ,307,940,17,-7.0746
テクレル,てくれる,307,933,17,-7.5487
テケ,てけ,1003,1003,33,-5.1681
テシマイ,てしまい,307,1273,17,-7.6492
テシマウ,てしまう,307,1253,17,-7.4632
テシマッタ,てしまった,307,435,17,-7.7699
テタ,てた,307,435,17,-6.6927
テテ,てて,307,307,17,-7.3913
テナイ,てない,307,473,17,-7.1177
テマス,てます,307,491,17,-6.9979
テミ,てみ,307,930,17,-7.2116
テモ,ても,307,262,17,-6.4044
テル,てる,307,919,17,-4.3303
テル,てる,919,919,17,-6.4773
テルノ,てるの,307,1310,17,-7.7323
テレビアサヒ,テレビ朝日,1292,1292,305,-7.5045
テン,てん,273,273,331,-4.3716
テンカイ,展開,1283,1283,182,-7.4417
テンズ,転ず,593,593,43,-7.7073
テンズル,転ずる,592,592,43,-7.7088
