トイ,問い,812,812,43,-5.3680
トイウ,という,173,173,468,-2.2416
トイッタ,といった,174,174,307,-3.1457
トイフ,といふ,175,175,495,-4.8323
トウ,とう,449,449,331,-4.5954
トウキョウ,東京,1293,1293,473,-5.4687
トウショ,当初,1314,1314,356,-6.1708
トウジ,当時,1314,1314,356,-5.2816
トウジョウ,登場,1283,1283,322,-6.8334
トウゼン,当然,1282,1282,468,-6.4801
トエ,問え,808,808,43,-5.3680
トオモイ,と思い,164,832,17,-6.5917
トオモイマス,と思います,164,491,17,-6.7228
トオモウ,と思う,164,817,17,-6.9211
トカ,とか,364,364,17,-2.5396
トカイウ,とかいう,177,177,420,-3.9732
トキ,とき,1313,1313,282,-4.6845
トク,とく,953,953,437,-6.5584
トクニ,特に,1281,1281,468,-5.3671
トクベツ,特別,1287,1287,169,-6.7243
トコロ,ところ,1313,1313,282,-4.6437
トシテ,として,179,179,356,-2.2226
トシマシテ,としまして,181,181,501,-5.0122
トチュウ,途中,1314,1314,282,-6.6246
トツゼン,突然,1282,1282,161,-6.8160
トテモ,とても,1282,1282,48,-5.4505
トトモニ,とともに,182,182,282,-3.1486
トトモニ,と共に,183,183,459,-3.2000
トドキ,届き,689,689,471,-6.2162
トドク,届く,679,679,471,-6.1756
トドケ,届け,685,685,471,-6.1756
トニカク,とにかく,1281,1281,17,-6.8536
トビ,飛び,759,759,471,-5.8958
トブ,飛ぶ,754,754,471,-5.8930
トベ,飛べ,757,757,471,-5.8918
トモ,とも,342,342,468,-3.2436
トモ,とも,310,310,468,-3.7372
トモナイ,伴い,832,832,282,-5.8134
トモナウ,伴う,817,817,43,-6.0573
トモナエ,伴え,826,826,43,-6.0516
トリ,とり,1195,1195,258,-6.5744
トリ,取り,788,788,481,-6.6463
トリアエズ,とりあえず,1282,1282,17,-6.4983
トリクミ,取り組み,767,767,154,-6.5945
トリクム,取り組む,762,762,154,-6.5576
トリクメ,取り組め,765,765,154,-6.5536
トル,取る,772,772,481,-6.4787
トル,とる,772,772,481,-6.9238
トレ,取れ,784,784,481,-6.6350
トンデモ,とんでも,1284,1284,268,-6.4118
