ヒカクテキ,比較的,1281,1281,351,-7.0932
ヒキ,引き,689,689,438,-6.4092
ヒキイ,低い,19,19,48,-6.8393
ヒキイル,率いる,619,619,146,-7.5921
ヒキイロ,率いろ,623,623,146,-7.5675
ヒキオコス,引き起こす,731,731,43,-7.4886
ヒキオコセ,引き起こせ,734,734,43,-7.4812
ヒキツギ,引き継ぎ,728,728,481,-5.7823
ヒキツグ,引き継ぐ,723,723,481,-5.7924
ヒキツゲ,引き継げ,726,726,481,-5.7160
ヒク,引く,679,679,438,-6.3686
ヒクイ,低い,19,19,48,-6.8393
ヒクウ,低う,31,31,48,-6.2540
ヒクカレ,低かれ,29,29,48,-6.2464
ヒクキ,低き,21,21,48,-6.2467
ヒクク,低く,35,35,48,-6.3295
ヒクシ,低し,23,23,48,-6.2539
ヒケ,引け,685,685,438,-6.3685
ヒジョウ,非常,1287,1287,351,-6.3764
ヒッ,引っ,559,559,60,-7.1431
ヒツヨウ,必要,1287,1287,169,-4.9541
ヒトガ,人が,1285,148,17,-7.5911
ヒトツ,ひとつ,1314,1314,468,-6.5650
ヒトツ,一つ,1285,1285,468,-7.2687
ヒトリ,1人,1288,1288,334,-7.3926
ヒドウ,酷う,31,31,48,-7.5472
ヒドカレ,酷かれ,29,29,48,-7.5396
ヒドキ,酷き,21,21,48,-7.5399
ヒドク,酷く,35,35,48,-7.6227
ヒドシ,酷し,23,23,48,-7.5471
ヒハン,批判,1283,1283,133,-7.5487
ヒビ,日々,1314,1314,161,-6.8360
ヒャクパーセント,100%,1289,1289,286,-7.2859
ヒョウカ,評価,1283,1283,375,-7.1251
ヒョウゲン,表現,1283,1283,307,-7.2497
ヒョウシ,評し,735,735,390,-7.5539
ヒョウジ,表示,1283,1283,375,-7.5971
ヒラキ,開き,689,689,471,-6.1060
ヒラク,開く,679,679,471,-6.0654
ヒラケ,開け,685,685,471,-6.0654
ヒレエ,広え,19,19,471,-7.2772
ヒロイ,広い,19,19,471,-7.2772
ヒロウ,広う,31,31,471,-6.6919
ヒロカレ,広かれ,29,29,471,-6.6843
ヒロガル,広がる,772,772,471,-7.5714
ヒロキ,広き,21,21,471,-6.6846
ヒロク,広く,35,35,356,-6.5078
ヒロシ,広し,23,23,471,-6.6918
ヒロシマ,広島,1293,1293,473,-7.6084
ヒン,ひん,511,511,331,-4.6703
