ヘイアンジダイ,平安時代,1288,1288,94,-9.4693
ヘイキ,平気,1287,1287,17,-9.2587
ヘイキン,平均,1283,1283,248,-7.8584
ヘイコウ,並行,1283,1283,182,-9.1741
ヘイサ,閉鎖,1283,1283,494,-8.9081
ヘイジツ,平日,1314,1314,305,-7.5098
ヘイセイ,平成,1288,1288,386,-9.5139
ヘイセツ,併設,1283,1283,375,-9.4878
ヘイホウキロメートル,平方キロメートル,1300,1300,221,-9.2308
ヘイホウメートル,平方メートル,1300,1300,221,-8.8220
ヘイワ,平和,1287,1287,388,-7.5493
ヘェ,へぇ,3,3,244,-8.6890
ヘエ,へえ,3,3,150,-9.3697
ヘクタール,ヘクタール,1300,1300,221,-8.9442
ヘコミ,凹み,767,767,304,-8.6078
ヘコム,凹む,762,762,29,-8.6062
ヘコメ,凹め,765,765,29,-8.6022
ヘタ,下手,1287,1287,17,-7.8841
ヘタクソ,下手くそ,1287,1287,66,-9.5049
ヘッ,へっ,3,3,420,-9.1703
ヘテ,経て,625,307,17,-9.2379
ヘト,へと,154,164,17,-8.9467
ヘノ,への,154,368,17,-7.4988
ヘヘ,へへ,3,3,501,-9.2528
ヘヤ,部屋,1285,1285,290,-8.0563
ヘラシ,減らし,735,735,258,-7.2544
ヘラス,減らす,731,731,43,-7.0832
ヘラセ,減らせ,734,734,43,-7.0758
ヘリ,減り,788,788,471,-7.8338
ヘル,経る,619,619,481,-7.5513
ヘル,減る,772,772,471,-7.6662
ヘレ,減れ,784,784,471,-7.8225
ヘロ,経ろ,623,623,481,-7.5267
ヘン,へん,512,512,437,-4.0467
ヘンカ,変化,1283,1283,182,-7.2531
ヘンカン,変換,1283,1283,45,-8.8547
ヘンコウ,変更,1283,1283,375,-6.9031
ヘンシュウ,編集,1283,1283,59,-8.1559
ヘンシュウシャ,編集者,1288,1288,201,-9.3908
ヘンシュウブ,編集部,1289,1289,201,-8.1972
ヘンシン,返信,1285,1285,445,-9.2279
ヘンシン,変身,1283,1283,26,-9.4360
ヘンジ,返事,1283,1283,17,-9.1614
ヘンセイ,編成,1283,1283,375,-7.7215
ヘンセン,変遷,1283,1283,182,-9.4560
ヘンドウ,変動,1283,1283,182,-9.4606
ヘンナ,変な,1287,454,17,-8.8605
ヘンニュウ,編入,1283,1283,375,-8.9250
ヘンリー,ヘンリー,1290,1290,255,-8.4977
ヘー,へー,3,3,293,-8.8450
