ヨ〜ク,よ〜く,35,35,48,-6.5921
ヨイ,良い,114,114,48,-3.5243
ヨイ,よい,114,114,48,-4.2982
ヨイ,良い,19,19,48,-5.0931
ヨゥ,よぅ,125,125,48,-6.5341
ヨウ,よう,1312,1312,169,-2.2533
ヨウ,良う,31,31,48,-4.5078
ヨウ,よう,31,31,48,-6.1433
ヨウサ,要さ,586,586,481,-6.1704
ヨウシロ,要しろ,588,588,481,-6.0910
ヨウス,要す,584,584,481,-6.0988
ヨウスル,要する,583,583,481,-6.0946
ヨォ,よぉ,11,11,48,-6.4757
ヨカレ,良かれ,29,29,48,-4.5003
ヨカレ,よかれ,29,29,48,-6.1358
ヨキ,良き,116,116,127,-3.7598
ヨキ,よき,116,116,252,-4.2187
ヨキ,良き,21,21,48,-4.5005
ヨキ,よき,21,21,48,-6.1360
ヨク,良く,130,130,48,-3.7892
ヨク,よく,130,130,48,-4.0736
ヨク,良く,35,35,48,-4.5833
ヨク,よく,1281,1281,48,-5.2105
ヨク,よく,35,35,48,-6.2001
ヨクッ,良くっ,35,35,48,-5.3619
ヨクッ,よくっ,35,35,48,-6.5927
ヨシ,良し,118,118,252,-3.7695
ヨシ,よし,118,118,36,-4.1977
ヨシ,良し,23,23,48,-4.5078
ヨシ,よし,23,23,48,-6.1433
ヨシッ,ヨシッ,23,23,48,-6.5179
ヨネ,よね,288,279,17,-6.1206
ヨビ,呼び,759,759,481,-3.8393
ヨブ,呼ぶ,754,754,481,-3.8364
ヨベ,呼べ,757,757,481,-3.8353
ヨミ,読み,767,767,327,-4.3610
ヨム,読む,762,762,481,-4.4213
ヨメ,読め,765,765,481,-4.4173
ヨリ,より,155,155,351,-2.5584
ヨリ,より,1281,1281,351,-6.1486
ヨリ,より,788,788,59,-6.4524
ヨル,よる,772,772,59,-6.2848
ヨレ,よれ,784,784,59,-6.4411
ヨロコビ,喜び,759,759,252,-5.9577
ヨロコブ,喜ぶ,754,754,161,-5.9653
ヨロコベ,喜べ,757,757,161,-5.9641
ヨロシク,よろしく,1281,1281,420,-6.2931
ヨー,よー,289,289,420,-3.4413
ヨー,ヨー,294,294,64,-4.9745
ヨーロッパ,ヨーロッパ,1293,1293,240,-6.3191
