、,、,10,10,151,-1.2267
マス,ます,491,491,17,-1.8643
ニ,に,151,151,282,-1.3747
イ,い,930,930,356,-2.0866
タイ,たい,444,444,17,-2.4250
マシ,まし,501,501,17,-2.0043
シ,し,610,610,258,-1.5936
ガ,が,148,148,468,-1.4621
イル,いる,919,919,468,-1.9884
ナガラ,ながら,314,314,282,-2.7301
ノ,の,368,368,408,-1.2458
デス,です,460,460,17,-1.8655
ヲ,を,156,156,356,-1.4175
タ,た,435,435,282,-1.4167
ハ,は,261,261,468,-1.3731
サ,さ,1304,1304,441,-2.8267
ヤスイ,やすい,113,113,48,-3.4181
ソウ,そう,1301,1301,17,-2.6187
タク,たく,451,451,17,-3.0166
モ,も,262,262,468,-1.7239
デ,で,308,308,468,-2.9431
クダサイ,ください,1239,1239,17,-3.0904
デ,で,149,149,468,-1.6148
タクッ,たくっ,451,451,17,-3.2814
ミ,み,930,930,52,-4.5938
シ,私,1285,1285,17,-4.2442
ナカ,中,1285,1285,282,-4.2761
スル,する,599,599,481,-1.9113
「,「,6,6,352,-2.0388
ジャ,じゃ,308,261,247,-3.4000
