　,　,9,9,44,-2.4705
シ,私,1285,1285,17,-4.2442
ナカ,中,1285,1285,282,-4.2761
「,「,6,6,352,-2.0388
・,・,5,5,203,-2.7687
タ,多,1285,1285,351,-4.9124
フクミ,含み,1285,1285,258,-4.9821
トキ,時,1285,1285,282,-5.0461
ワタシ,私,1306,1306,17,-3.6243
タチ,立ち,1285,1285,356,-5.2862
カズ,数,1285,1285,387,-5.3011
コレ,これ,1306,1306,468,-3.8073
キリ,切り,1285,1285,60,-5.3631
ソレ,それ,1306,1306,468,-3.8293
ナ,名,1285,1285,454,-5.3730
…,…,5,5,184,-3.3301
ミ,見,1285,1285,52,-5.3943
コノ,この,1315,1315,468,-3.0084
ジブン,自分,1285,1285,161,-5.4686
ヒト,人,1285,1285,408,-5.4734
ト,と,164,164,282,-1.8068
アソビ,遊び,1285,1285,290,-5.5478
ソノ,その,1315,1315,468,-3.1000
マタ,また,555,555,468,-3.4936
メ,目,1285,1285,332,-5.6594
ムラ,村,1285,1285,489,-5.7051
キョウ,強,1285,1285,351,-5.7181
デキ,出来,1285,1285,268,-5.7335
シュウ,州,1285,1285,272,-5.7511
ユキ,行き,1285,1285,271,-5.7579
