、,、,10,10,151,-1.5634
ノ,の,368,368,408,-1.5758
ガ,が,148,148,468,-1.7910
ナ,な,454,454,287,-2.1762
！,！,1318,1318,244,-2.2258
ハ,は,261,261,468,-1.7069
スル,する,599,599,481,-2.2506
シロ,しろ,608,608,437,-2.2713
・,・,5,5,203,-3.2741
…,…,5,5,184,-3.2961
ト,と,150,150,282,-2.3522
イル,いる,919,919,468,-2.3530
ガ,が,299,299,468,-2.3975
ナウ,なう,32,32,468,-2.4312
ナキ,なき,22,22,468,-2.4312
ナ,な,12,12,468,-2.4321
ナカレ,なかれ,30,30,468,-2.4398
ニ,に,329,329,282,-2.4457
」,」,7,7,121,-2.3882
マシ,まし,499,499,17,-2.4789
ニ,に,151,151,282,-1.7031
ナイ,ない,482,482,468,-2.4901
ナ,な,468,468,287,-2.4985
ナキ,なき,474,474,495,-2.5008
ナシ,なし,475,475,258,-2.5009
アル,ある,403,403,481,-2.5094
ナレ,なれ,456,456,47,-2.5196
イロ,いろ,926,926,437,-2.5312
レロ,れろ,874,874,468,-2.5746
ス,す,602,602,481,-2.5953
