　,　,9,9,44,-2.7153
「,「,6,6,352,-2.3719
・,・,5,5,203,-3.2741
…,…,5,5,184,-3.2961
コレ,これ,1306,1306,468,-4.1473
ソレ,それ,1306,1306,468,-4.1817
ジブン,自分,1285,1285,161,-5.8093
ヒト,人,1285,1285,408,-5.8095
コノ,この,1315,1315,468,-3.3504
ト,と,164,164,282,-2.1353
ノ,の,368,368,408,-1.5758
ワタシ,私,1306,1306,17,-4.3035
ソノ,その,1315,1315,468,-3.4683
マタ,また,555,555,468,-3.8729
ハ,は,261,261,468,-1.7069
ニ,に,151,151,282,-1.7031
〜,〜,5,5,244,-4.1897
『,『,6,6,322,-3.7536
オ,お,560,560,437,-3.7363
シ,し,610,610,258,-1.9199
ソウ,そう,1282,1282,17,-4.3654
ワタクシ,私,1306,1306,17,-5.1892
ヲ,を,156,156,356,-1.7569
ソシテ,そして,555,555,282,-4.7369
ナニ,何,1306,1306,468,-5.2718
アリガトウ,ありがとう,3,3,244,-4.5444
サクヒン,作品,1285,1285,322,-6.9110
シカシ,しかし,555,555,282,-4.7902
」,」,7,7,121,-2.3882
デモ,でも,555,555,468,-4.8672
